Timestamp,UID,User,Action,Temp,Hum,FanState
2026-01-03 09:00:00,D2D54502,Pai,USER_LOGIN,16.50,77.00,0
2026-01-03 09:00:05,D2D54502,Pai,VOZ_LIGAR,16.50,77.00,1
2026-01-03 09:05:00,D2D54502,Pai,AUTO_LOG,16.60,76.00,1
2026-01-03 09:10:00,D2D54502,Pai,USER_LOGOUT,16.80,75.00,1
2026-01-03 10:30:00,9E5C3602,Mae,USER_LOGIN,22.50,60.00,0
2026-01-03 10:30:10,9E5C3602,Mae,VOZ_DESLIGAR,22.50,60.00,0
2026-01-03 10:35:00,9E5C3602,Mae,AUTO_LOG,22.40,61.00,0
2026-01-03 10:40:00,9E5C3602,Mae,USER_LOGOUT,22.30,62.00,0
2026-01-03 12:00:00,D3C0D82C,Filho,USER_LOGIN,15.50,80.00,0
2026-01-03 12:00:05,D3C0D82C,Filho,VOZ_DESLIGAR,15.50,80.00,0
2026-01-03 12:05:00,D3C0D82C,Filho,AUTO_LOG,15.60,79.00,0
2026-01-03 12:10:00,D3C0D82C,Filho,USER_LOGOUT,15.70,79.00,0
2026-01-03 14:00:00,D3C0D82C,Filho,USER_LOGIN,21.00,72.00,0
2026-01-03 14:00:15,D3C0D82C,Filho,VOZ_LIGAR,21.00,72.00,1
2026-01-03 14:05:00,D3C0D82C,Filho,AUTO_LOG,21.20,71.00,1
2026-01-03 14:10:00,D3C0D82C,Filho,USER_LOGOUT,21.10,71.00,1
2026-01-03 16:00:00,D2D54502,Pai,USER_LOGIN,14.00,85.00,1
2026-01-03 16:00:10,D2D54502,Pai,VOZ_LIGAR,14.00,85.00,1
2026-01-03 16:05:00,D2D54502,Pai,USER_LOGOUT,14.20,84.00,1
2026-01-03 17:00:00,9E5C3602,Mae,USER_LOGIN,25.00,55.00,0
2026-01-03 17:00:05,9E5C3602,Mae,VOZ_DESLIGAR,25.00,55.00,0
2026-01-03 17:05:00,9E5C3602,Mae,USER_LOGOUT,24.80,56.00,0
2026-01-03 18:30:00,D3C0D82C,Filho,USER_LOGIN,17.50,75.00,0
2026-01-03 18:30:10,D3C0D82C,Filho,VOZ_DESLIGAR,17.50,75.00,0
2026-01-03 18:35:00,D3C0D82C,Filho,AUTO_LOG,17.40,76.00,0
2026-01-03 18:40:00,D3C0D82C,Filho,USER_LOGOUT,17.20,77.00,0
2026-01-03 20:00:00,D3C0D82C,Filho,USER_LOGIN,19.50,69.00,0
2026-01-03 20:00:08,D3C0D82C,Filho,VOZ_LIGAR,19.50,69.00,1
2026-01-03 20:05:00,D3C0D82C,Filho,USER_LOGOUT,19.40,69.00,1
2026-01-03 21:00:00,D2D54502,Pai,USER_LOGIN,20.00,65.00,1
2026-01-03 21:00:05,D2D54502,Pai,VOZ_LIGAR,20.00,65.00,1
2026-01-03 21:10:00,D2D54502,Pai,USER_LOGOUT,20.10,65.00,1
2026-01-03 22:00:00,9E5C3602,Mae,USER_LOGIN,19.00,70.00,0
2026-01-03 22:00:10,9E5C3602,Mae,VOZ_DESLIGAR,19.00,70.00,0
2026-01-03 22:10:00,9E5C3602,Mae,USER_LOGOUT,18.90,71.00,0
